symbol,atomic_number,atomic_radius,atomic_volume,boiling_point,density,dipole_polarizability,electron_affinity,valance_main,evaporation_heat,fusion_heat,group_id,lattice_constant,melting_point,period,series_id,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,en_allen,heat_of_formation,c6,covalent_radius_bragg,covalent_radius_slater,vdw_radius_batsanov,vdw_radius_uff,vdw_radius_mm3,abundance_crust,abundance_sea,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_weight_uncertainty,atomic_radius_rahm,covalent_radius_pyykko_double,discovery_year,mendeleev_number,dipole_polarizability_unc,pettifor_number,glawe_number,column,atomic_masses,valence_d,valence_s,T_melt,electronegativity,unfilled_f,valence_p,unfilled_d,valence_f,row,unfilled,T_boil,cohesive_energy,covalent_radius,polarizability,electron_binding_energy,ionization_energy,pymg_atomic_radius
Cm,96,299,18.28,,13.51,144,,2,,,,,1340,7,10,,,245,169,166,,,386,,,,,332.6,,,,0.17439,305,,247,,276,136,1944,28,25,41,40,3,247.07035,1,2,1618,1.3,7,0,9,7,7,16,3383,3.99,1.69,23,16,5.9914,
Bk,97,297,,,13.25,125,,2,,,,,,7,10,,,244,,168,,,310,,,,,333.9,,,,0.19315,340,,247,,,139,1949,30,25,40,41,3,247.07031,0,2,1323,1.3,5,0,0,9,7,5,,,,22.7,16,6.1979,
Cf,98,295,,,15.1,122,,2,,,,,900,7,10,,,245,,168,,,196,,,,,331.3,,,,0.20369,305,,251,,,140,1950,32,20,39,42,3,251.07959,0,2,1173,1.3,4,0,0,10,7,4,,,,20.5,17,6.2817,
Es,99,292,,1130,,118,,2,,,,,,7,10,,,245,,165,,,133,,,,,329.9,,,,0.21427,270,,252,,,140,1952,34,20,38,43,3,252.083,0,2,1133,1.3,3,0,0,11,7,3,,,,19.7,17,6.42,
Fm,100,290,,,,113,,2,,,,,1800,7,10,,,245,,167,,,,,,,,328.6,,,,0.22485,,,257,,,,1953,36,20,37,44,3,257.09511,0,2,1800,1.3,2,0,0,12,7,2,,,,23.8,17,6.5,
Md,101,287,,,,109,,2,,,,,1100,7,10,,,246,,173,,,,,,,,327.4,,,,0.23542,,,258,,,139,1955,38,20,36,45,3,258.09843,0,2,1100,1.3,1,0,0,13,7,1,,,,18.2,17,6.58,
No,102,285,,,,110,,2,,,,,1100,7,10,,,246,,176,,,,,,,,324.8,,,,0.246,,,259,,,,1957,40,6,35,46,3,259.101,0,2,1100,1.3,0,0,0,14,7,0,,,,16.4,18,6.65,
Lr,103,282,,,,320,,3,,,,,,7,8,,,246,,161,,,,,,,,323.6,,,,0.24844,,,262,,,141,1961,42,20,34,47,3,,0,2,1900,,,1,,14,7,,,,,,,,
Rf,104,,,,,112,,,,,4,,,7,8,,,,,157,,,,,,,,,,,,,,,267,,,140,1969,46,10,,,,,,,,,,,,,,,,,,,,,
Db,105,,,,,42,,,,,5,,,7,8,,,,,149,,,,,,,,,,,,,,,268,,,136,1970,50,4,,,,,,,,,,,,,,,,,,,,,
Sg,106,,,,,40,,,,,6,,,7,8,,,,,143,,,,,,,,,,,,,,,271,,,128,1974,54,4,,,,,,,,,,,,,,,,,,,,,
Bh,107,,,,,38,,,,,7,,,7,8,,,,,141,,,,,,,,,,,,,,,274,,,128,1976,58,4,,,,,,,,,,,,,,,,,,,,,
Hs,108,,,,,36,,,,,8,,,7,8,,,,,134,,,,,,,,,,,,,,,269,,,125,1984,62,4,,,,,,,,,,,,,,,,,,,,,
Mt,109,,,,,34,,,,,9,,,7,8,,,,,129,,,,,,,,,,,,,,,276,,,125,1982,66,3,,,,,,,,,,,,,,,,,,,,,
Ds,110,,,,,32,,,,,10,,,7,8,,,,,128,,,,,,,,,,,,,,,281,,,116,1994,70,3,,,,,,,,,,,,,,,,,,,,,
Rg,111,,,,,32,,,,,11,,,7,8,,,,,121,,,,,,,,,,,,,,,281,,,116,1994,74,6,,,,,,,,,,,,,,,,,,,,,
Cn,112,,,,,28,,,,,12,,,7,8,,,,,122,,,,,,,,,,,,,,,285,,,137,1996,80,2,,,,,,,,,,,,,,,,,,,,,
Nh,113,,,,,29,,,,,13,,,7,7,,,,,136,,,,,,,,,,,,,,,286,,,,2015,86,2,,,,,,,,,,,,,,,,,,,,,
Fl,114,,,,,31,,,,,14,,,7,7,,,,,143,,,,,,,,,,,,,,,289,,,,1998,92,4,,,,,,,,,,,,,,,,,,,,,
Mc,115,,,,,71,,,,,15,,,7,7,,,,,162,,,,,,,,,,,,,,,288,,,,2003,98,20,,,,,,,,,,,,,,,,,,,,,
Lv,116,,,,,,,,,,16,,,7,7,,,,,175,,,,,,,,,,,,,,,293,,,,2000,104,,,,,,,,,,,,,,,,,,,,,,
Ts,117,,,,,76,,,,,17,,,7,6,,,,,165,,,,,,,,,,,,,,,294,,,,2010,111,15,,,,,,,,,,,,,,,,,,,,,
Og,118,,,,,58,0.056,,,,18,,,7,2,,,,,157,,,,,,,,,,,,,,,294,,,,2002,118,6,,,,,,,,,,,,,,,,,,,,,
